,State,crashes,cars,dist,Severity
0,AL,19322,2035376,1.129311665,2.128351102
1,AR,10935,872437,1.52108706,2.256241427
2,AZ,56504,2410018,0.766406131,2.069552598
3,CA,795868,14201400,0.521233525,2.041998171
4,CO,25340,1639028,1.14081322,2.662273086
5,CT,29762,1211171,1.185638364,2.265035952
6,DC,9133,210297,0.388685864,2.190955874
7,DE,4842,415915,0.769075176,2.502271789
8,FL,401388,7841553,0.583641519,2.069359323
9,GA,40086,3495421,1.003417627,2.519533004
10,IA,9607,1163751,2.194138857,2.356719059
11,ID,8544,588362,1.386273876,2.11821161
12,IL,47105,4161655,0.426784312,2.548880161
13,IN,20850,2123748,1.475002254,2.461534772
14,KS,9033,889083,0.876083472,2.219971217
15,KY,6638,1644497,0.878747665,2.345736668
16,LA,47232,1315691,0.654238715,2.054306402
17,MA,6392,2003373,0.644931633,2.361702128
18,MD,65085,1823553,0.795330445,2.311792272
19,ME,2193,356079,0.804705426,2.103967168
20,MI,43843,2691704,0.734783455,2.335994343
21,MN,97185,1841690,0.765285065,2.047085456
22,MO,29633,1991376,0.688071036,2.246583201
23,MS,5320,788425,1.050435526,2.19924812
24,MT,15964,459081,1.659832435,2.037396642
25,NC,91362,3398470,0.550728826,2.118364309
26,ND,2258,215654,1.721553587,2.011957484
27,NE,3320,624907,1.456585843,2.315963855
28,NH,3866,460825,0.527330833,2.127263321
29,NJ,52902,2541125,0.782015425,2.24138974
30,NM,2370,623955,2.240521097,2.37721519
31,NV,6197,1027503,1.207112151,2.226077134
32,NY,108049,4232748,0.82535209,2.216198206
33,OH,24409,4247843,0.731686509,2.486623786
34,OK,8806,1223848,0.231991597,2.191119691
35,OR,126341,1440848,0.960727768,2.07370529
36,PA,99975,4043715,0.990391648,2.20344086
37,RI,4451,381767,0.653336329,2.155695349
38,SC,89216,1767348,0.548079246,2.050226417
39,SD,201,325001,2.348144279,2.467661692
40,TN,52613,2115632,0.792432707,2.081253683
41,TX,149037,8088058,0.549186866,2.184940652
42,UT,49193,902723,0.708529933,2.07289655
43,VA,113535,3057254,0.991188611,2.176650372
44,VT,365,193407,1.071427397,2.397260274
45,WA,32554,2800370,0.704274744,2.305062358
46,WI,7896,1901497,0.718803571,2.835233029
47,WV,7632,508663,1.157153564,2.185927673
48,WY,990,191332,5.977379798,2.571717172
